авторство авторства
айно айно
анна анна
артефакт артефакты
архивировать архивировано
ахти ахти
близнец близнец
бог боги
богиня богиней богиня
божество божества
болезнь болезни
вамматар вамматар
велламо велламо
версия версия
ветер ветер
видеться видятся
видный видны
викидать викиданных
викимедиа викимедиа
википедия википедии википедия
випунный випунен
вклад вклад
владеть владеют
вода вода
воздух воздух
возможный возможным
войти войти
вяйнямёйнный вяйнямёйнен
герой герои
год года
дата дата
дать данная
дева дева
девушка девушка девушки
действовать действовать
день дня
дополнительный дополнительные
дополнить дополнив
доступный доступен
дочь дочь
древний древней
другой другие других
ещё ещё
её её
железо железо
жизнь жизнью
заглавный заглавная
заготовка заготовка
закат закате
заменить заменила
запись запись
зарегистрировать зарегистрированный
заявление заявление
звезда звезда звезды
злодей злодеи
знак знак
золото золотом
золотой золотую золотые
золотоокаймленный золотоокаймленных
избранный избранные
ику ику
ильмаринный ильмаринен
ильматар ильматар
инструмент инструменты
использование использования
история история
источник источник
июль июля
йоукахайнный йоукахайнен
калев калев
калевала калевала калевале калевалы
кантеле кантеле
каресть карело
категория категории
код код
кодекс кодекс
конфиденциальность конфиденциальности
короткий короткий
который которые
красивый красивая
куиппан куиппана
кук куки
куллерво куллерво
куутара куутар
лемминкяйнный лемминкяйнен
лина лина
лицензия лицензии
ловиатар ловиатар
лоухи лоухи
луна луна луну луны
май май
мария мария
март марта
материал материал
медведица медведица
менее менее
место места
месяц месяц
миеликки миеликки
мир мира
мифический мифические
мифология мифологии мифология
мобильный мобильная
мочь могут
мы нами
навигация навигации навигация
небо небе
незавершённый незавершённые
некоммерческий некоммерческой
нить нить
новый новые
ноябрь ноября
нююрикки нююрикки
облако облаках
обращение обращения
обсуждение обсуждение
огонь огонь
одежда одежду одежды
олицетворение олицетворения
олицетворить олицетворённое
она неё
описание описание
организация организации
ответственность ответственности
отдельный отдельных
отказ отказ
отредактировать отредактирована
ошибка ошибке
пайвяэр пайвяэр
пеллервойнный пеллервойнен
первый первой
перейти перейти
период период
персональный персональные
персонификация персонификация
печать печати печать
поведение поведения
подробный подробнее
подруга подруга
пожертвовать пожертвовать
поиск поиск поиску
политика политика
получить получить
помочь помогите
последний последний
постоянный постоянная
похьёл похьёла похьёлы
править править
правка правки
право правами
представиться представились
представлять представляющая
прекрасный прекрасная
примечание примечания
проверяться проверялась
проект проектах
происходить происходят
просить просят
просмотр просмотры
профессор профессор
прясть прядут
пяйватар пяйватар
разработчик разработчики
рассказываться рассказывается
религия религии
руно рунах руне
русский русский
сампо сампо
сампёс сампса
сведение сведения
свежий свежие
свет светом
свободный свободной
связанный связанные
связаться свяжитесь
серебро серебром
серебряный серебряную серебряные
сиикать сиикала
система системе
сияние сиянии
скачать скачать
скрытый скрытые
служебный служебные
случай случаях
случайный случайная
смотреть см
снести снесённых
событие события
содержание содержание
создать создать
солнце солнца солнце
солярный солярные
сообщество сообщество
сообщить сообщить
соответствующий соответствующими
сотворение сотворении
сохранение сохранением
справка справка
ссылка ссылка ссылки
статистика статистика
статья статьи статья
стихия стихии
страница страница странице страницу страницы
сурма сурма
считать считает
сын сын
сюда сюда
также также
тапио тапио
текст текст
текущий текущие
теллерво теллерво
ткать ткут
товарный товарный
туонела туонела
туонетар туонетар
туонить туони
турсо турсо
указание указанием
указать указан
укко укко
украшение украшения
унтамо унтамо
управлявщий управлявщей
условие условий условия
утка уткой
участие участие
участник участниками
учётный учётную
фигурировать фигурируют
фин фин
финский финская финской
фонд фонд
форум форум
хийся хийси
христианский христианский
цитировать цитировать
чей чья
читать читать
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
это это
этот эта
юмаленький юмала
язык язык языках
яйцо яиц
